timestamp_jst,timestamp_utc,deviceId,diff_pressure_Pa,unit_status1,1101,1102,1103,1104,1105,1106,1107,1108,1109,1110,1111,1112,1113,1114,1115,1116,1117,1118,1119,1150,1151,1152,1153,1154,1155,1156,1157,serial_number,1202,circulation_pressure_bar,gas_pressure_before_filter_Pa,gas_pressure_before_engine_Pa,1210,1212,1214,1216,1218,1220,1222,gasifier_top_temp_C,gas_temp_after_gasifier_C,gas_temp_before_filter_primary_C,gas_temp_before_filter_secondary_C,gasifier_throat_temp_C,1234,1236,1238,cooling_circ_temp_in_engine_C,engine,oil_pressure_bar,1246,1248,1250,1252,power_kW_IEM3255,produced_energy_EM1_Wh,1258,1260,1262,1264,throat_temp_high_limit_C,gasifier_top_temp_high_limit_C,gas_temp_after_gasifier_high_limit_C,gas_temp_before_filter_high_limit_C,filter_dp_high_limit_Pa,gas_pressure_before_filter_high_limit_Pa,gas_pressure_before_engine_high_limit_Pa,cooling_circ_temp_high_limit_C,oil_pressure_low_limit_bar,1284,1286,1288,1290,1292,1294,1296,1298,1300,1302,1304,1306,1308
2026-09-13T09:00:11.291000+09:00,2026-09-13T00:00:11.291000+00:00,094623,2131.7,1,0,0,0,0,13495,500,13495,0,0,0,0,4655,-28608,18518,590,4992,8720,129,0,0,0,0,2,0,0,0,0,31082107,2018,0.27,565.51,2697.23,0,52.8,99,67.9,38.1,57.7,518.1,52.3,603.5,147.3,147.1,1043.3,367779,186,12.74,89.1,1500,2.93,1.11,23.7,34.2,65,13.25,12285656,73072,74.61,3451.13,0,1200,400,720,240,4200,7500,8500,102,1.5,6000,0,0,0,0,0,64.25,30,63.78,57.12,54.9,0,0
2026-09-13T09:01:11.381000+09:00,2026-09-13T00:01:11.381000+00:00,094623,1805.8,1,0,0,0,0,13495,494,13495,0,0,0,0,4651,-28608,10326,6,4992,0,129,0,0,0,0,2,0,0,0,0,31082107,2018,0.37,500.81,2306.59,0,52.6,96.5,68,38.1,57.6,518.1,51.8,598.9,140.3,139.6,1027.6,367779,186,12.69,90.1,1470,2.88,1.08,22,33.5,65,11.85,12285658,73072,58.07,3451.13,0,1200,400,720,240,4200,7500,8500,102,1.5,6000,0,0,0,0,0,63.46,30,53.52,58.63,54.9,0,0
2026-09-13T09:02:11.478000+09:00,2026-09-13T00:02:11.478000+00:00,094623,2796.1,1,0,0,0,0,13495,493,13495,0,0,0,0,4651,-28608,10326,6,4480,0,129,0,0,0,0,0,0,0,0,0,31082107,2018,0.33,935.39,3731.5,0,52.6,98.8,68.1,38.1,57.4,510,52.4,602.5,143.1,142.8,1042,367779,186,12.75,91.1,1490,2.81,1.19,29.4,38.4,65,20.62,12285660,73072,64.77,3451.13,0,1200,400,720,240,4200,7500,8500,102,1.5,6000,0,0,0,0,0,70.05,30,67.17,69.48,55,0,0
2026-09-13T09:03:11.574000+09:00,2026-09-13T00:03:11.574000+00:00,094623,1703.2,1,0,0,0,0,13495,485,13495,0,0,0,0,4655,-26560,12374,6,5025,72,129,0,0,0,0,2,0,0,0,0,31082107,2018,0.25,343.33,2046.57,0,52.9,97.9,68,38.1,57.7,520.4,55.5,602.7,144.3,144,1030.4,367780,187,12.9,88.7,1480,2.86,0.98,23.3,37.3,65,10.43,12285663,73072,71.16,3451.14,0,1200,400,720,240,4200,7500,8500,102,1.5,6000,0,0,0,0,0,63.25,30,59.53,54.99,54.9,0,0
2026-09-13T09:04:11.661000+09:00,2026-09-13T00:04:11.661000+00:00,094623,1708.1,1,0,0,0,0,13495,490,13495,0,0,0,0,4651,-28608,10326,6,4992,0,129,0,0,0,0,2,0,0,0,0,31082107,2018,0.34,381.18,2089.3,0,52.6,97.2,68,38.1,57.5,519.9,54,596.9,139.3,138.6,1052.2,367780,187,12.59,90.3,1470,2.89,0.86,23.9,37.8,65,11.39,12285665,73072,55.59,3451.14,0,1200,400,720,240,4200,7500,8500,102,1.5,6000,0,0,0,0,0,63.43,30,55.06,59.04,54.9,0,0
2026-09-13T09:05:11.755000+09:00,2026-09-13T00:05:11.755000+00:00,094623,2726.5,1,0,0,0,0,13495,501,13495,0,0,0,0,4655,-28608,10390,590,21376,8192,129,0,0,0,0,2,0,0,0,0,31082107,2018,0.28,824.3,3550.83,0,52.7,99.1,67.7,38,57.4,514.5,52.8,606,147.1,146.7,1055.7,367780,187,12.69,89.6,1510,2.89,1.1,27.4,35.4,65,21.12,12285668,73072,69.78,3451.14,0,1200,400,720,240,4200,7500,8500,102,1.5,6000,0,0,0,0,0,68.21,30,68.06,63.51,55,0,0
2026-09-13T09:06:11.826000+09:00,2026-09-13T00:06:11.826000+00:00,094623,2224.8,1,0,0,0,0,13495,485,13495,0,0,0,0,4651,-28608,10326,6,4992,0,129,0,0,0,0,2,0,0,0,0,31082107,2018,0.33,638.75,2863.55,0,52.8,95.9,68,38,57.6,522.3,52.2,597.5,139,138.2,1023.1,367780,187,12.88,90.1,1530,2.74,1.2,26.2,37.3,65,9.93,12285670,73072,61.22,3451.14,0,1200,400,720,240,4200,7500,8500,102,1.5,6000,0,0,0,0,0,62.84,30,52.35,58.32,54.9,0,0
2026-09-13T09:07:12.003000+09:00,2026-09-13T00:07:12.003000+00:00,094623,1836.3,1,0,0,0,0,13495,496,13495,0,0,0,0,4651,-28608,10390,6,20864,0,129,0,0,0,0,2,0,0,0,0,31082107,2018,0.37,498.37,2334.67,0,52.6,99.1,68,38.1,57.2,520.4,53.3,593.5,137.1,136.7,1047.6,367780,187,12.88,90.8,1490,2.89,1.15,23.3,36.2,65,11.26,12285672,73072,58.47,3451.14,0,1200,400,720,240,4200,7500,8500,102,1.5,6000,0,0,0,0,0,63.47,30,61.4,61.23,55,0,0
2026-09-13T09:08:12.041000+09:00,2026-09-13T00:08:12.041000+00:00,094623,2437.2,1,0,0,0,0,13495,500,13495,0,0,0,0,4651,-28608,12374,6,5024,8,129,0,0,0,0,2,0,0,0,0,31082107,2018,0.26,753.5,3190.71,0,52.8,99.4,67.8,38.1,57.4,514.8,53.3,604.1,148.9,148.9,1131.1,367780,187,12.75,89.1,1510,2.92,1.11,24.7,32.7,65,13.87,12285675,73072,74.13,3451.14,0,1200,400,720,240,4200,7500,8500,102,1.5,6000,0,0,0,0,0,63.79,30,64.89,57.93,55,0,0
2026-09-13T09:09:12.129000+09:00,2026-09-13T00:09:12.129000+00:00,094623,2276.1,1,0,0,0,0,13495,522,13495,0,0,0,0,4655,-28608,10342,6,13188,0,129,0,0,0,0,2,0,0,0,0,31082107,2018,0.33,797.45,3073.52,0,52.6,95.9,68.2,38,57.7,512.3,53.5,598,143.4,142.9,1058,367781,188,12.59,89.8,1570,3.04,1.05,24.4,32.1,65,17.92,12285677,73072,56.67,3451.14,0,1200,400,720,240,4200,7500,8500,102,1.5,6000,0,0,0,0,0,66.1,30,54.96,59.95,55,0,0
