timestamp_jst,timestamp_utc,deviceId,diff_pressure_Pa,unit_status1,1101,1102,1103,1104,1105,1106,1107,1108,1109,1110,1111,1112,1113,1114,1115,1116,1117,1118,1119,1150,1151,1152,1153,1154,1155,1156,1157,serial_number,1202,circulation_pressure_bar,gas_pressure_before_filter_Pa,gas_pressure_before_engine_Pa,1210,1212,1214,1216,1218,1220,1222,gasifier_top_temp_C,gas_temp_after_gasifier_C,gas_temp_before_filter_primary_C,gas_temp_before_filter_secondary_C,gasifier_throat_temp_C,1234,1236,1238,cooling_circ_temp_in_engine_C,engine,oil_pressure_bar,1246,1248,1250,1252,power_kW_IEM3255,produced_energy_EM1_Wh,1258,1260,1262,1264,throat_temp_high_limit_C,gasifier_top_temp_high_limit_C,gas_temp_after_gasifier_high_limit_C,gas_temp_before_filter_high_limit_C,filter_dp_high_limit_Pa,gas_pressure_before_filter_high_limit_Pa,gas_pressure_before_engine_high_limit_Pa,cooling_circ_temp_high_limit_C,oil_pressure_low_limit_bar,1284,1286,1288,1290,1292,1294,1296,1298,1300,1302,1304,1306,1308
2026-08-22T09:00:43.924000+09:00,2026-08-22T00:00:43.924000+00:00,094623,1833.9,1,0,0,0,0,13411,498,13411,0,0,0,0,4651,-28608,10326,6,4480,0,129,0,0,0,0,2,0,0,0,0,31082107,2018,0.36,770.59,2604.45,0,52.4,98.4,68.2,37.3,57.2,515.5,101.6,621.4,157.5,161.2,1057,363761,3869,12.68,89.6,1500,2.75,1.15,25.4,37.7,40,15.84,12212568,72610,62.47,3423.71,0,1200,400,720,240,4200,7500,8500,102,1.5,6000,0,0,0,0,0,69.9,30,65.78,59.47,55.9,0,0
2026-08-22T09:01:44.009000+09:00,2026-08-22T00:01:44.009000+00:00,094623,1880.2,1,0,0,0,0,13411,498,13411,0,0,0,0,4651,-28608,10326,6,4480,0,129,0,0,0,0,0,0,0,0,0,31082107,2018,0.39,751.06,2631.31,0,52.5,96.9,68,37.3,57.2,514.3,113.9,622.8,157.2,160.7,1026.4,363762,3870,12.85,89.9,1500,2.76,1.14,25.4,37.2,40,15.82,12212571,72610,62.98,3423.71,0,1200,400,720,240,4200,7500,8500,102,1.5,6000,0,0,0,0,0,69.58,30,60.65,59.94,55.9,0,0
2026-08-22T09:02:44.104000+09:00,2026-08-22T00:02:44.104000+00:00,094623,1816.8,1,0,0,0,0,13411,498,13411,0,0,0,0,4651,-28608,12374,6,4512,72,129,0,0,0,0,0,0,0,0,0,31082107,2018,0.34,709.55,2526.32,0,52.5,97.4,67.9,37.4,57.2,517.3,105.6,618.4,154.6,157.9,1035.9,363762,3870,12.8,92.2,1500,2.75,1.16,25.4,38.6,40,15.51,12212574,72610,64.12,3423.71,0,1200,400,720,240,4200,7500,8500,102,1.5,6000,0,0,0,0,0,69.13,30,60.77,68.32,56,0,0
2026-08-22T09:03:44.196000+09:00,2026-08-22T00:03:44.196000+00:00,094623,1846.1,1,0,0,0,0,13411,497,13411,0,0,0,0,4651,-28608,10326,6,4480,0,129,0,0,0,0,2,0,0,0,0,31082107,2018,0.28,729.09,2575.15,0,52.6,99.5,67.9,37.3,57,517.5,101.1,617.6,153.1,156.3,1015.8,363762,3870,12.68,88.8,1500,2.75,1.16,25.5,38.6,40,15.79,12212576,72610,67.05,3423.72,0,1200,400,720,240,4200,7500,8500,102,1.5,6000,0,0,0,0,0,68.98,30,67.89,58.66,55.9,0,0
2026-08-22T09:04:44.306000+09:00,2026-08-22T00:04:44.306000+00:00,094623,2173.5,1,0,0,0,0,13411,498,13411,0,0,0,0,4651,-28608,10326,518,4480,0,129,0,0,0,0,2,0,0,0,0,31082107,2018,0.34,957.37,3130.89,0,52.6,97.4,67.6,37.3,57.1,511.5,116.7,619.5,158.7,162.3,1032.5,363762,3870,12.73,89.1,1500,2.74,1.16,26.2,35.5,40,15.11,12212579,72610,63.07,3423.72,0,1200,400,720,240,4200,7500,8500,102,1.5,6000,0,0,0,0,0,67.7,30,62.79,57.62,55.9,0,0
2026-08-22T09:05:44.396000+09:00,2026-08-22T00:05:44.396000+00:00,094623,1986.4,1,0,0,0,0,13411,497,13411,0,0,0,0,4651,-28608,10326,518,4480,0,129,0,0,0,0,2,0,0,0,0,31082107,2018,0.38,807.21,2793.66,0,52.6,97.5,67.6,37.3,57.4,515.4,107.8,621.4,157.6,161.2,1034.4,363762,3870,12.88,90,1500,2.73,1.15,25.4,36.6,40,15.05,12212581,72610,60.57,3423.72,0,1200,400,720,240,4200,7500,8500,102,1.5,6000,0,0,0,0,0,67.09,30,61.54,59.69,55.9,0,0
2026-08-22T09:06:44.486000+09:00,2026-08-22T00:06:44.486000+00:00,094623,2002.3,1,0,0,0,0,13411,499,13411,0,0,0,0,4651,-28608,10326,6,4480,0,129,0,0,0,0,0,0,0,0,0,31082107,2018,0.41,815.76,2818.08,0,52.6,99.1,67.7,37.3,57.4,514.9,106.3,620.8,157.5,160.9,1021.4,363762,3870,12.9,91.1,1500,2.77,1.15,25.4,36.4,40,15.9,12212584,72610,64.33,3423.72,0,1200,400,720,240,4200,7500,8500,102,1.5,6000,0,0,0,0,0,66.8,30,66.97,64.22,55.9,0,0
2026-08-22T09:07:44.590000+09:00,2026-08-22T00:07:44.590000+00:00,094623,1968.1,1,0,0,0,0,13411,499,13411,0,0,0,0,4655,-28608,12374,6,4512,8,129,0,0,0,0,0,0,0,0,0,31082107,2018,0.31,709.55,2677.69,0,52.6,98.5,67.8,37.4,57.3,516.2,101.2,621.1,155.8,159,1043.6,363763,3871,12.91,90.1,1510,2.78,1.14,25.3,37.3,40,15.58,12212587,72610,69.77,3423.72,0,1200,400,720,240,4200,7500,8500,102,1.5,6000,0,0,0,0,0,66.77,30,66.62,63.07,55.9,0,0
2026-08-22T09:08:44.704000+09:00,2026-08-22T00:08:44.704000+00:00,094623,1947.4,1,0,0,0,0,13411,497,13411,0,0,0,0,4655,-26560,10326,590,4480,8192,129,0,0,0,0,0,0,0,0,0,31082107,2018,0.32,754.72,2702.11,0,52.6,97.2,67.9,37.4,57.2,516.8,100.4,619.7,154.9,157.9,1063.3,363763,3871,12.58,88.8,1500,2.74,1.15,25.2,37.4,40,15.94,12212589,72610,66.53,3423.72,0,1200,400,720,240,4200,7500,8500,102,1.5,6000,0,0,0,0,0,66.87,30,62.66,58.11,55.9,0,0
2026-08-22T09:09:44.815000+09:00,2026-08-22T00:09:44.815000+00:00,094623,2147.9,1,0,0,0,0,13411,497,13411,0,0,0,0,4655,-28608,10390,6,20864,0,129,0,0,0,0,0,0,0,0,0,31082107,2018,0.36,744.96,2892.85,0,52.5,97.3,67.7,37.5,57.2,514.3,97.8,620.6,157.1,160.3,1041.1,363763,3871,12.58,89.5,1500,2.75,1.14,25.7,36.2,40,15.72,12212592,72610,61.49,3423.72,0,1200,400,720,240,4200,7500,8500,102,1.5,6000,0,0,0,0,0,66.02,30,61.31,58.87,55.9,0,0
