timestamp_jst,timestamp_utc,deviceId,diff_pressure_Pa,unit_status1,1101,1102,1103,1104,1105,1106,1107,1108,1109,1110,1111,1112,1113,1114,1115,1116,1117,1118,1119,1150,1151,1152,1153,1154,1155,1156,1157,serial_number,1202,circulation_pressure_bar,gas_pressure_before_filter_Pa,gas_pressure_before_engine_Pa,1210,1212,1214,1216,1218,1220,1222,gasifier_top_temp_C,gas_temp_after_gasifier_C,gas_temp_before_filter_primary_C,gas_temp_before_filter_secondary_C,gasifier_throat_temp_C,1234,1236,1238,cooling_circ_temp_in_engine_C,engine,oil_pressure_bar,1246,1248,1250,1252,power_kW_IEM3255,produced_energy_EM1_Wh,1258,1260,1262,1264,throat_temp_high_limit_C,gasifier_top_temp_high_limit_C,gas_temp_after_gasifier_high_limit_C,gas_temp_before_filter_high_limit_C,filter_dp_high_limit_Pa,gas_pressure_before_filter_high_limit_Pa,gas_pressure_before_engine_high_limit_Pa,cooling_circ_temp_high_limit_C,oil_pressure_low_limit_bar,1284,1286,1288,1290,1292,1294,1296,1298,1300,1302,1304,1306,1308
2026-08-09T09:00:05.272000+09:00,2026-08-09T00:00:05.272000+00:00,094623,1542.1,1,0,0,0,0,13359,520,13359,0,0,0,0,4651,-28608,12390,6,13220,72,129,0,0,0,0,0,0,0,0,0,31082107,2018,0.5,639.97,2182.07,0,53.5,97.6,68.5,36.5,61.5,524.2,44.6,611.5,146.5,144.7,1022.6,361112,1220,12.93,89.8,1570,2.81,1.03,23,34.5,60,13.08,12167670,72420,73.19,3406.1,0,1200,400,720,240,4200,7500,8500,102,1.5,6000,0,0,0,0,0,68.84,30,64,57.98,53.7,0,0
2026-08-09T09:01:05.367000+09:00,2026-08-09T00:01:05.367000+00:00,094623,1367.5,1,0,0,0,0,13359,522,13359,0,0,0,0,4651,-28608,10326,518,4992,0,129,0,0,0,0,0,0,0,0,0,31082107,2018,0.46,686.36,2053.9,0,53.1,96.8,68.3,36.7,60.6,523.8,46.6,603.7,136.5,134.4,1021.9,361112,1220,12.94,93.2,1570,2.81,1.1,24.1,38.1,60,12.5,12167671,72420,62.58,3406.1,0,1200,400,720,240,4200,7500,8500,102,1.5,6000,0,0,0,0,0,69.75,30,60.63,71.04,53.7,0,0
2026-08-09T09:02:05.461000+09:00,2026-08-09T00:02:05.461000+00:00,094623,2005.1,1,0,0,0,0,13359,495,13359,0,0,0,0,4655,-28608,18518,6,4480,528,129,0,0,0,0,0,0,0,0,0,31082107,2018,0.42,996.43,3001.5,0,53,99.1,68.3,36.8,60,514.1,44.3,609,140.5,138.8,1052.1,361112,1220,12.74,89,1490,2.61,1.18,30,41.7,60,23.14,12167674,72420,72.82,3406.1,0,1200,400,720,240,4200,7500,8500,102,1.5,6000,0,0,0,0,0,74.69,30,72.09,65.28,53.7,0,0
2026-08-09T09:03:05.554000+09:00,2026-08-09T00:03:05.554000+00:00,094623,2027.0,1,0,0,0,0,13359,496,13359,0,0,0,0,4651,-28608,10326,6,4480,0,129,0,0,0,0,0,0,0,0,0,31082107,2018,0.41,932.95,2959.99,0,52.9,98.1,68,36.8,60.4,521.2,45.3,616,148.6,147.7,1057.9,361112,1220,12.36,88.3,1490,2.62,1.15,29.5,41.7,60,24.46,12167678,72420,73.8,3406.1,0,1200,400,720,240,4200,7500,8500,102,1.5,6000,0,0,0,0,0,74.59,30,71.27,61.14,53.8,0,0
2026-08-09T09:04:05.649000+09:00,2026-08-09T00:04:05.649000+00:00,094623,2107.6,1,0,0,0,0,13359,496,13359,0,0,0,0,4651,-28608,10326,6,4480,0,129,0,0,0,0,0,0,0,0,0,31082107,2018,0.45,945.16,3052.77,0,52.8,96.9,67.5,36.8,60.5,523.3,45.1,616.5,150.1,149.3,1051.3,361113,1221,12.8,89.6,1500,2.62,1.16,29.8,41.7,60,24.58,12167682,72420,71.87,3406.1,0,1200,400,720,240,4200,7500,8500,102,1.5,6000,0,0,0,0,0,72.78,30,66.25,63.36,53.7,0,0
2026-08-09T09:05:05.750000+09:00,2026-08-09T00:05:05.750000+00:00,094623,2293.2,1,0,0,0,0,13359,498,13359,0,0,0,0,4651,-28608,12374,518,4512,72,129,0,0,0,0,0,0,0,0,0,31082107,2018,0.53,1036.71,3329.87,0,52.7,99.1,67.4,36.8,60.7,520.9,45.5,614.7,152.2,151.1,1067.8,361113,1221,12.84,90.8,1510,2.63,1.15,30.2,40.4,60,23.81,12167686,72420,73.25,3406.1,0,1200,400,720,240,4200,7500,8500,102,1.5,6000,0,0,0,0,0,71.71,30,72.93,67.32,53.7,0,0
2026-08-09T09:06:05.842000+09:00,2026-08-09T00:06:05.842000+00:00,094623,2234.6,1,0,0,0,0,13359,496,13359,0,0,0,0,4651,-28608,10326,6,4480,0,129,0,0,0,0,0,0,0,0,0,31082107,2018,0.48,956.14,3190.71,0,52.8,97.9,67.6,36.8,60.9,523.5,44.2,615.1,152.4,151.2,1077.4,361113,1221,12.55,90.7,1500,2.61,1.15,29.9,40.9,60,24.45,12167690,72420,76.98,3406.11,0,1200,400,720,240,4200,7500,8500,102,1.5,6000,0,0,0,0,0,71.6,30,70.56,67.83,53.8,0,0
2026-08-09T09:07:05.959000+09:00,2026-08-09T00:07:05.959000+00:00,094623,2272.4,1,0,0,0,0,13359,496,13359,0,0,0,0,4655,-26560,18518,6,4481,16,129,0,0,0,0,0,0,0,0,0,31082107,2018,0.46,1017.18,3289.59,0,53,97.3,67.7,36.9,61,523.2,45.5,618.5,152.6,151.2,1064.2,361113,1221,12.71,89.9,1500,2.62,1.15,30,40.6,60,24.38,12167694,72420,77.8,3406.11,0,1200,400,720,240,4200,7500,8500,102,1.5,6000,0,0,0,0,0,71.28,30,67.71,65.9,53.7,0,0
2026-08-09T09:08:06.046000+09:00,2026-08-09T00:08:06.046000+00:00,094623,2367.6,1,0,0,0,0,13359,496,13359,0,0,0,0,4655,-28608,10326,518,4480,0,129,0,0,0,0,0,0,0,0,0,31082107,2018,0.49,1089.21,3456.83,0,53.1,98.9,67.7,36.9,61.2,522.9,44.6,617,154.2,152.9,1057.3,361113,1221,12.74,89.3,1500,2.61,1.15,30.2,39.7,60,23.66,12167698,72420,76.21,3406.11,0,1200,400,720,240,4200,7500,8500,102,1.5,6000,0,0,0,0,0,70.84,30,72.68,63.44,53.7,0,0
2026-08-09T09:09:06.139000+09:00,2026-08-09T00:09:06.139000+00:00,094623,2417.7,1,0,0,0,0,13359,498,13359,0,0,0,0,4651,-28608,10326,6,4480,0,129,0,0,0,0,0,0,0,0,0,31082107,2018,0.48,1033.05,3450.73,0,53.2,98.3,67.8,36.9,61.3,522.2,44.3,616.3,154.8,153.2,1056.3,361113,1221,12.75,89.5,1500,2.63,1.15,30.1,39.6,60,24.48,12167703,72420,74.95,3406.11,0,1200,400,720,240,4200,7500,8500,102,1.5,6000,0,0,0,0,0,70.96,30,72.24,63.11,53.7,0,0
