timestamp_jst,timestamp_utc,deviceId,diff_pressure_Pa,unit_status1,1101,1102,1103,1104,1105,1106,1107,1108,1109,1110,1111,1112,1113,1114,1115,1116,1117,1118,1119,1150,1151,1152,1153,1154,1155,1156,1157,serial_number,1202,circulation_pressure_bar,gas_pressure_before_filter_Pa,gas_pressure_before_engine_Pa,1210,1212,1214,1216,1218,1220,1222,gasifier_top_temp_C,gas_temp_after_gasifier_C,gas_temp_before_filter_primary_C,gas_temp_before_filter_secondary_C,gasifier_throat_temp_C,1234,1236,1238,cooling_circ_temp_in_engine_C,engine,oil_pressure_bar,1246,1248,1250,1252,power_kW_IEM3255,produced_energy_EM1_Wh,1258,1260,1262,1264,throat_temp_high_limit_C,gasifier_top_temp_high_limit_C,gas_temp_after_gasifier_high_limit_C,gas_temp_before_filter_high_limit_C,filter_dp_high_limit_Pa,gas_pressure_before_filter_high_limit_Pa,gas_pressure_before_engine_high_limit_Pa,cooling_circ_temp_high_limit_C,oil_pressure_low_limit_bar,1284,1286,1288,1290,1292,1294,1296,1298,1300,1302,1304,1306,1308
2026-08-12T09:00:02.227000+09:00,2026-08-12T00:00:02.227000+00:00,094623,2395.7,1,0,0,0,0,13374,496,13374,0,0,0,0,4655,-28608,12438,6,20896,8,129,0,1,0,0,0,0,0,0,0,31082107,2018,0.52,958.59,3354.29,0,53.4,99.4,67.8,38,60.1,527,55,611.5,153.5,151.7,1057.1,361832,1940,12.84,89.5,1500,2.62,1.15,29.8,40.3,60,23.33,12181500,72420,71.31,3411.12,0,1200,400,720,240,4200,7500,8500,102,1.5,6000,0,0,0,0,0,72.56,30,73.04,62.13,52.8,0,0
2026-08-12T09:01:02.330000+09:00,2026-08-12T00:01:02.330000+00:00,094623,2028.3,1,0,0,0,0,13374,502,13374,0,0,0,0,4651,-28608,10326,6,4992,0,129,0,1,0,0,0,0,0,0,0,31082107,2018,0.49,857.26,2885.52,0,53.6,97.2,67.9,38,60.4,527.3,52.6,610,153.9,152.1,1114.5,361832,1940,12.65,91.1,1510,2.7,1.11,25.3,34.7,60,16.72,12181504,72420,73.78,3411.12,0,1200,400,720,240,4200,7500,8500,102,1.5,6000,0,0,0,0,0,67.31,30,61.3,61.94,52.8,0,0
2026-08-12T09:02:02.403000+09:00,2026-08-12T00:02:02.403000+00:00,094623,1377.3,1,0,0,0,0,13374,498,13374,0,0,0,0,4651,-28608,10342,518,13188,0,129,0,1,0,0,0,0,0,0,0,31082107,2018,0.44,577.71,1955.02,0,53.5,98.1,68.1,38.1,60.2,525.8,53,605.3,142.9,140.7,1040.8,361832,1940,12.69,91.1,1500,2.69,1.13,22.9,36.8,60,10.96,12181506,72420,66.51,3411.12,0,1200,400,720,240,4200,7500,8500,102,1.5,6000,0,0,0,0,0,65.21,30,61.06,61.05,52.8,0,0
2026-08-12T09:03:02.507000+09:00,2026-08-12T00:03:02.507000+00:00,094623,1677.6,1,0,0,0,0,13374,494,13374,0,0,0,0,4651,-28608,10326,6,4480,0,129,0,1,0,0,0,0,0,0,0,31082107,2018,0.47,766.93,2444.53,0,53.3,97.4,68.1,38.2,59.6,520.3,52.1,600.7,138.6,136.4,1048.9,361832,1940,12.2,90.7,1490,2.63,1.2,26.7,40.9,60,16.61,12181508,72420,64.52,3411.12,0,1200,400,720,240,4200,7500,8500,102,1.5,6000,0,0,0,0,0,69.03,30,62.14,64.76,52.8,0,0
2026-08-12T09:04:02.609000+09:00,2026-08-12T00:04:02.609000+00:00,094623,2332.2,1,0,0,0,0,13374,497,13374,0,0,0,0,4651,-28608,10326,518,4480,0,129,0,1,0,0,0,0,0,0,0,31082107,2018,0.51,1014.74,3346.96,0,53.4,99.8,67.9,38.2,59.7,521.5,52.5,610.6,150,148.5,1091.3,361833,1941,12.79,89.2,1500,2.63,1.13,29.7,39.3,60,23.98,12181512,72420,72.71,3411.12,0,1200,400,720,240,4200,7500,8500,102,1.5,6000,0,0,0,0,0,72.84,30,74.2,64.63,52.8,0,0
2026-08-12T09:05:02.694000+09:00,2026-08-12T00:05:02.694000+00:00,094623,2237.0,1,0,0,0,0,13374,497,13374,0,0,0,0,4655,-28608,12374,6,4480,0,129,0,1,0,0,0,0,0,0,0,31082107,2018,0.48,921.96,3158.97,0,53.5,96.8,68.2,38.2,60.1,528.1,53.3,608.3,151.2,149.4,1052.5,361833,1941,12.88,88.9,1500,2.63,1.15,29.6,41.5,60,24.16,12181516,72420,74.5,3411.12,0,1200,400,720,240,4200,7500,8500,102,1.5,6000,0,0,0,0,0,73.83,30,65.84,62.24,52.8,0,0
2026-08-12T09:06:02.796000+09:00,2026-08-12T00:06:02.796000+00:00,094623,2335.9,1,0,0,0,0,13374,497,13374,0,0,0,0,4655,-28608,10326,518,4480,0,129,0,1,0,0,0,0,0,0,0,31082107,2018,0.56,1009.86,3345.74,0,53.5,98.9,67.8,38.2,60.2,528.2,54.4,608.6,152.9,151.3,1044.2,361833,1941,12.65,90,1500,2.63,1.16,29.9,40.8,60,24.15,12181520,72420,69.85,3411.12,0,1200,400,720,240,4200,7500,8500,102,1.5,6000,0,0,0,0,0,72.68,30,71.44,64.81,52.8,0,0
2026-08-12T09:07:02.898000+09:00,2026-08-12T00:07:02.898000+00:00,094623,2605.7,1,0,0,0,0,13374,501,13374,0,0,0,0,4651,-28608,10326,6,4992,0,129,0,1,0,0,0,0,0,0,0,31082107,2018,0.55,1095.31,3700.98,0,53.8,98.5,67.6,38.2,60.4,524.9,53.4,613.2,155.6,153.9,1051.6,361833,1941,12.77,90.9,1520,2.65,1.15,30.1,38.8,60,24.15,12181524,72420,72.97,3411.13,0,1200,400,720,240,4200,7500,8500,102,1.5,6000,0,0,0,0,0,71.15,30,71.33,67.85,52.8,0,0
2026-08-12T09:08:02.990000+09:00,2026-08-12T00:08:02.990000+00:00,094623,1438.3,1,0,0,0,0,13374,493,13374,0,0,0,0,4651,-28608,10326,6,4992,0,129,0,1,0,0,0,0,0,0,0,31082107,2018,0.46,609.45,2047.79,0,53.9,97.2,68.2,38.3,60.5,526.2,52.5,602.1,146.7,144.7,1046.4,361833,1941,12.55,90.7,1490,2.65,1.12,22.9,36.1,60,11.16,12181527,72420,68.94,3411.13,0,1200,400,720,240,4200,7500,8500,102,1.5,6000,0,0,0,0,0,65.01,30,59.68,60.65,52.8,0,0
2026-08-12T09:09:03.080000+09:00,2026-08-12T00:09:03.080000+00:00,094623,1390.7,1,0,0,0,0,13374,490,13374,0,0,0,0,4651,-28608,10326,6,4992,0,129,0,1,0,0,0,0,0,0,0,31082107,2018,0.47,589.92,1980.65,0,53.7,97.9,68.6,38.3,60.1,522.6,52.4,599.1,141.5,139.3,1056.4,361833,1941,12.65,91,1480,2.66,1.11,22.9,36.4,60,11.19,12181529,72420,63.79,3411.13,0,1200,400,720,240,4200,7500,8500,102,1.5,6000,0,0,0,0,0,66.86,30,60.47,63.3,52.9,0,0
