timestamp_jst,timestamp_utc,deviceId,diff_pressure_Pa,unit_status1,1101,1102,1103,1104,1105,1106,1107,1108,1109,1110,1111,1112,1113,1114,1115,1116,1117,1118,1119,1150,1151,1152,1153,1154,1155,1156,1157,serial_number,1202,circulation_pressure_bar,gas_pressure_before_filter_Pa,gas_pressure_before_engine_Pa,1210,1212,1214,1216,1218,1220,1222,gasifier_top_temp_C,gas_temp_after_gasifier_C,gas_temp_before_filter_primary_C,gas_temp_before_filter_secondary_C,gasifier_throat_temp_C,1234,1236,1238,cooling_circ_temp_in_engine_C,engine,oil_pressure_bar,1246,1248,1250,1252,power_kW_IEM3255,produced_energy_EM1_Wh,1258,1260,1262,1264,throat_temp_high_limit_C,gasifier_top_temp_high_limit_C,gas_temp_after_gasifier_high_limit_C,gas_temp_before_filter_high_limit_C,filter_dp_high_limit_Pa,gas_pressure_before_filter_high_limit_Pa,gas_pressure_before_engine_high_limit_Pa,cooling_circ_temp_high_limit_C,oil_pressure_low_limit_bar,1284,1286,1288,1290,1292,1294,1296,1298,1300,1302,1304,1306,1308
2026-09-02T09:00:04.991000+09:00,2026-09-02T00:00:04.991000+00:00,094623,1359.0,1,0,0,0,0,13453,498,13453,0,0,0,0,4651,-28608,18534,6,4992,16,129,0,0,0,0,0,0,0,0,0,31082107,2018,0.41,439.77,1798.76,0,54.3,97.1,69,36,63.6,528.1,50.6,589.2,148.9,149.8,1037.1,365607,5715,12.55,91.7,1440,2.7,1.55,23.9,39,65,11.13,12249039,72915,61.1,3436.72,0,1200,400,720,240,4200,7500,8500,102,1.5,6000,0,0,0,0,0,66.65,30,58.28,64.34,48.2,0,0
2026-09-02T09:01:05.072000+09:00,2026-09-02T00:01:05.072000+00:00,094623,2105.2,1,0,0,0,0,13453,495,13453,0,0,0,0,4651,-28608,10326,6,4480,0,129,0,0,0,0,0,0,0,0,0,31082107,2018,0.45,969.57,3074.74,0,54.1,98.2,68.7,36.1,63.1,519.7,50.5,589.7,148.7,149.4,1031.6,365607,5715,12.84,90.3,1490,2.63,1.19,30,42.2,65,23.54,12249041,72915,66.67,3436.72,0,1200,400,720,240,4200,7500,8500,102,1.5,6000,0,0,0,0,0,74.79,30,69.41,69.21,48.3,0,0
2026-09-02T09:02:05.170000+09:00,2026-09-02T00:02:05.170000+00:00,094623,2339.6,1,0,0,0,0,13453,497,13453,0,0,0,0,4651,-28608,10326,6,12676,0,129,0,0,0,0,0,0,0,0,0,31082107,2018,0.44,1045.26,3384.81,0,54.2,99,68,36.1,63.2,527.6,49.9,598.3,159.2,161.1,1047.4,365607,5715,12.63,89.3,1500,2.66,1.15,31,41.9,65,26.66,12249045,72915,77.29,3436.72,0,1200,400,720,240,4200,7500,8500,102,1.5,6000,0,0,0,0,0,74.87,30,74.58,67.42,48.2,0,0
2026-09-02T09:03:05.273000+09:00,2026-09-02T00:03:05.273000+00:00,094623,2401.8,1,0,0,0,0,13453,495,13453,0,0,0,0,4651,-28608,12374,6,4512,72,129,0,0,0,0,0,0,0,0,0,31082107,2018,0.43,1133.15,3534.96,0,54.2,97.7,67.7,36.2,63.6,528.2,49.2,600.6,162.6,165.2,1050.6,365607,5715,12.8,89.2,1490,2.62,1.15,31.1,41,65,26.27,12249050,72915,75.55,3436.72,0,1200,400,720,240,4200,7500,8500,102,1.5,6000,0,0,0,0,0,73.62,30,71.15,65.91,48.3,0,0
2026-09-02T09:04:05.361000+09:00,2026-09-02T00:04:05.361000+00:00,094623,2483.6,1,0,0,0,0,13453,495,13453,0,0,0,0,4651,-28608,10326,590,4480,8192,129,0,0,0,0,0,0,0,0,0,31082107,2018,0.46,1130.71,3614.31,0,54.4,97.3,67.4,36.2,63.9,529.2,50.8,603.3,164.8,167.6,1036.6,365607,5715,12.64,89.5,1500,2.64,1.15,31.2,40.6,65,26.17,12249054,72915,74.72,3436.72,0,1200,400,720,240,4200,7500,8500,102,1.5,6000,0,0,0,0,0,71.96,30,69.12,65.74,48.3,0,0
2026-09-02T09:05:05.459000+09:00,2026-09-02T00:05:05.459000+00:00,094623,2374.9,1,0,0,0,0,13453,495,13453,0,0,0,0,4651,-28608,10326,6,4480,0,129,0,0,0,0,0,0,0,0,0,31082107,2018,0.48,1024.51,3399.46,0,54.5,98.1,67.5,36.3,64.2,531.9,48.8,603.4,163.7,166.4,1054.9,365607,5715,12.76,89.7,1490,2.64,1.15,30.7,41.5,65,26.57,12249059,72915,76.28,3436.73,0,1200,400,720,240,4200,7500,8500,102,1.5,6000,0,0,0,0,0,71.43,30,71.17,65.81,48.3,0,0
2026-09-02T09:06:05.553000+09:00,2026-09-02T00:06:05.553000+00:00,094623,2433.5,1,0,0,0,0,13453,497,13453,0,0,0,0,4651,-28608,10326,6,4480,0,129,0,0,0,0,0,0,0,0,0,31082107,2018,0.5,1061.13,3494.67,0,54.7,98.6,67.8,36.3,64.3,532.9,48.8,603.3,163.7,166.3,1051.4,365608,5716,12.84,90.3,1500,2.63,1.15,31,41.4,65,26.64,12249063,72915,74.81,3436.73,0,1200,400,720,240,4200,7500,8500,102,1.5,6000,0,0,0,0,0,71.84,30,73.27,67.63,48.3,0,0
2026-09-02T09:07:05.651000+09:00,2026-09-02T00:07:05.651000+00:00,094623,2549.5,1,0,0,0,0,13453,496,13453,0,0,0,0,4651,-28608,10326,6,4480,0,129,0,0,0,0,0,0,0,0,0,31082107,2018,0.51,1184.42,3733.94,0,54.8,98.9,67.9,36.4,64.5,530.7,48.8,605.4,164.6,167.1,1040.9,365608,5716,12.67,90.5,1500,2.62,1.16,31.3,40.4,65,26.72,12249067,72915,76.93,3436.73,0,1200,400,720,240,4200,7500,8500,102,1.5,6000,0,0,0,0,0,71.79,30,75.24,68.82,48.3,0,0
2026-09-02T09:08:05.744000+09:00,2026-09-02T00:08:05.744000+00:00,094623,1670.3,1,0,0,0,0,13453,452,13453,0,0,0,0,4655,-28608,12374,6,4992,0,129,0,0,0,0,0,0,0,0,0,31082107,2018,0.44,679.04,2349.31,0,54.8,96.9,68.7,36.4,64.4,533.8,48.7,594.7,153.7,155.3,1033.8,365608,5716,12.59,90.8,1320,2.42,1.71,26.9,39.7,65,10.98,12249070,72915,70.71,3436.73,0,1200,400,720,240,4200,7500,8500,102,1.5,6000,0,0,0,0,0,64.35,30,59.25,60.5,48.3,0,0
2026-09-02T09:09:05.853000+09:00,2026-09-02T00:09:05.853000+00:00,094623,1396.8,1,0,0,0,0,13453,479,13453,0,0,0,0,4655,-28608,10326,582,4992,0,129,0,0,0,0,0,0,0,0,0,31082107,2018,0.39,487.38,1884.21,0,54.6,97.7,69.1,36.5,63.8,529.2,49,588.4,146.4,146.9,1043.3,365608,5716,12.59,91.4,1370,2.66,1.85,25,40.6,65,11.37,12249072,72915,66.53,3436.73,0,1200,400,720,240,4200,7500,8500,102,1.5,6000,0,0,0,0,0,67.52,30,60.53,65.03,48.3,0,0
